"Name","test_exact_match","test_f1","Runtime","Notes","State","Tags","eval/loss","eval/runtime","eval/samples_per_second","eval/steps_per_second","test_tydiqa_exact_match","test_tydiqa_f1","test_xquad_exact_match","test_xquad_f1","train/epoch","train/global_step","train/learning_rate","train/loss","train/total_flos","train/train_loss","train/train_runtime","train/train_samples_per_second","train/train_steps_per_second","val_exact_match","val_f1"
"th_qcpg_0.8_aug_0.2","38.97948448185166","53.0810676720628","2966","-","finished","slem","1.8443036079406736","7.4885","301.262","2.404","40.54830864470484","54.61048193394243","32.96610169491525","47.218745039452465","19.94","3380","7.396449704142014e-8","0.3263","45832741284230780","1.1905190247755784","2645.3172","81.843","1.278","51.684397163120565","62.945406630889856"
"th_qcpg_0.8_aug_0.1","38.611257233035246","53.18331144323514","2763","-","finished","slem","1.807953715324402","7.4671","302.123","2.411","40.70307318151669","55.08518270827103","30.593220338983052","45.89334217903514","19.94","3100","7.258064516129035e-8","0.3336","42004057894061950","1.2245329395417244","2447.2116","81.096","1.267","49.202127659574465","61.64053429072205"
"th_qcpg_0.5_llm_gec_aug_1.0","41.17131334385411","53.944671866493394","4612","-","finished","slem","2.2739274501800537","7.4987","300.851","2.4","43.20141499005085","55.85681801706728","33.389830508474574","46.61531844357447","20","5640","4.432624113475178e-8","0.3657","76607636381752320","1.2448477102509627","4251.4473","84.875","1.327","49.55673758865248","61.299276173584566"
"th_qcpg_0.5_llm_gec_aug_0.9","38.41837629317903","52.27974978493451","4398","-","finished","slem","2.017455816268921","7.4712","301.96","2.409","40.41565332743754","54.23051119467351","30.76271186440678","44.80238211014793","20","5360","4.6641791044776125e-8","0.5925","72777679169894400","1.410354975800016","4053.7671","84.563","1.322","48.847517730496456","60.46724156979163"
"th_qcpg_0.5_llm_gec_aug_0.8","38.96194985095564","52.393788249628905","4233","-","finished","slem","2.0848982334136963","7.4847","301.413","2.405","40.34932566880389","53.735610488922305","33.644067796610166","47.250515378169275","20","5080","4.429133858267717e-8","0.3783","68947721958036480","1.261227684321366","3886.124","83.569","1.307","49.68971631205674","60.99323975502467"
"th_qcpg_0.5_llm_gec_aug_0.7","38.8392074346835","52.581012332135415","3990","-","finished","slem","1.869015097618103","7.4893","301.23","2.403","40.50409020561574","54.190775490157314","32.45762711864407","46.41070829507496","20","4800","5.208333333333333e-8","0.6086","65117764746178560","1.4338975874582929","3663.7588","83.717","1.31","49.9113475177305","61.60684869324581"
"th_qcpg_0.5_llm_gec_aug_0.6","38.558653340347185","52.46748930868437","3794","-","finished","slem","2.03741192817688","7.4779","301.689","2.407","40.37143488834844","54.37280167230242","31.610169491525426","45.16433013864801","20","4520","5.530973451327434e-8","0.4736","61287807534320640","1.334165031298072","3463.7181","83.344","1.305","47.82801418439716","60.25348334914982"
"th_qcpg_0.5_llm_gec_aug_0.5","38.85674206557952","53.082258207914016","3560","-","finished","slem","1.946876049041748","7.5031","300.674","2.399","40.41565332743754","54.700318487947605","32.88135593220339","46.88015088029522","19.95","4220","5.33175355450237e-8","0.4276","57318791454737280","1.307468224475734","3239.3595","83.541","1.303","50.44326241134752","62.0628720002938"
"th_qcpg_0.5_llm_gec_aug_0.4","39.36524636156409","53.57276788787593","3349","-","finished","slem","1.795181393623352","7.4674","302.112","2.41","40.96838381605129","55.20094823995958","33.220338983050844","47.331869809509264","19.95","3940","6.979695431472081e-8","0.5066","53490108064568450","1.4467047521910692","3028.501","83.401","1.301","51.1081560283688","62.65983241049735"
"th_qcpg_0.5_llm_gec_aug_0.3","38.38330703138699","52.394774983424135","3155","-","finished","slem","1.9361307621002195","7.4826","301.501","2.406","40.10612425381384","54.11270325272875","31.779661016949152","45.80986857489592","19.95","3660","6.147540983606558e-8","0.3594","49661424674399620","1.2403058286573063","2842.9402","82.499","1.287","50.84219858156028","61.858857282646234"
"th_qcpg_0.5_llm_gec_aug_0.2","39.64580045590041","53.674885020817605","2953","-","finished","slem","1.846521258354187","7.4705","301.988","2.409","41.25580367013045","55.40600097151694","33.47457627118644","47.03942955894339","19.94","3380","5.1775147928994095e-8","0.3435","45832741284230780","1.20236770133295","2646.9141","81.793","1.277","50.84219858156028","62.30139443628966"
"th_qcpg_0.5_llm_gec_aug_0.1","38.97948448185166","53.23770259785426","2745","-","finished","slem","1.8485617637634275","7.466","302.171","2.411","40.70307318151669","55.03984964994821","32.3728813559322","46.329981312583506","19.94","3100","5.645161290322581e-8","0.3305","42004057894061950","1.192397083159416","2439.9216","81.339","1.271","50.0886524822695","62.0962839138072"
"th_qcpg_0.5_aug_1.0","39.85621602665264","53.69395160363305","4597","-","finished","slem","1.971029281616211","7.5032","300.673","2.399","41.78642493919965","55.47708246117288","32.45762711864407","46.85912035901369","20","5640","5.3191489361702137e-8","0.5117","76607636381752320","1.3688277251331518","4247.9314","84.945","1.328","48.758865248226954","60.53183266809678"
"th_qcpg_0.5_aug_0.9","38.20796072242679","52.97607318276508","4575","-","finished","slem","2.0884439945220947","7.5111","300.357","2.396","40.28299801017024","54.86328970420856","30.25423728813559","45.74227629591148","20","5360","4.6641791044776125e-8","0.4046","72777679169894400","1.261173733668541","4061.3866","84.405","1.32","50.62056737588652","62.01605567316619"
"th_qcpg_0.5_aug_0.8","39.8211467648606","53.13355265829375","4197","-","finished","slem","2.0914273262023926","7.4825","301.502","2.406","41.83064337828875","55.00306414455956","32.11864406779661","45.967620071532046","20","5080","4.921259842519685e-8","0.3663","68947721958036480","1.2363109949066884","3850.8245","84.335","1.319","49.86702127659574","61.46609682181495"
"th_qcpg_0.5_aug_0.7","38.05014904436262","52.769810413027585","4005","-","finished","slem","2.0556740760803223","7.4651","302.204","2.411","40.43776254698209","54.9160427926107","28.89830508474576","44.54319257162703","20","4800","5.208333333333333e-8","0.4768","65117764746178560","1.366580483118693","3639.6503","84.272","1.319","49.02482269503546","61.16545824536079"
"th_qcpg_0.5_aug_0.6","39.80361213396458","53.42923616828843","3812","-","finished","slem","2.058561325073242","7.4795","301.624","2.407","41.87486181737785","55.42270981512877","31.864406779661017","45.78815031688388","20","4520","4.9778761061946906e-8","0.4168","61287807534320640","1.2489352673555898","3482.0033","82.906","1.298","49.77836879432624","61.35336035875777"
"th_qcpg_0.5_aug_0.5","39.89128528844468","53.35709641925978","3589","-","finished","slem","1.913356065750122","7.5168","300.126","2.395","41.941189476011495","55.33203258385503","32.03389830508475","45.787065679884634","19.95","4220","5.924170616113744e-8","0.3617","57318791454737280","1.2235500624959503","3253.1534","83.187","1.297","50.354609929078016","61.68265161802524"
"th_qcpg_0.5_aug_0.4","37.734525688234264","53.20192730984434","3348","-","finished","slem","1.9108657836914065","7.4699","302.011","2.41","39.332301569754584","54.98072349441564","31.610169491525426","46.383711087120595","19.95","3940","6.34517766497462e-8","0.3842","53490108064568450","1.2950110440326823","3035.8716","83.199","1.298","49.955673758865245","61.77297836326453"
